Road Traffic, Scenario = 1, Dally = 0.00, Trials = 100
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___

Time: 12
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___
_=_________=_____=_____>____#___<____=__=___>____>__________>_____=_____________=______>_______=_______=_____<__=___>__XX_>__>____<__<_=_>X________>_____>________=____<_=_=_=XXX_>__________>__________

Time: 13
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___
_=_________=_____=_____>____#___<____=__=___>____>__________>_____=_____________=______>_______=_______=_____<__=___>__XX_>__>____<__<_=_>X________>_____>________=____<_=_=_=XXX_>__________>__________
______=_________=____<____<____#____>__<__=_____>_____>__________=_____=_____________=_____>_______=________=__<__=__<_X_>__>___>___>_=_=X_>__________=______=_______<__<_=_=XXX_>__>_____________>_____

Time: 14
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___
_=_________=_____=_____>____#___<____=__=___>____>__________>_____=_____________=______>_______=_______=_____<__=___>__XX_>__>____<__<_=_>X________>_____>________=____<_=_=_=XXX_>__________>__________
______=_________=____<____<____#____>__<__=_____>_____>__________=_____=_____________=_____>_______=________=__<__=__<_X_>__>___>___>_=_=X_>__________=______=_______<__<_=_=XXX_>__>_____________>_____
___________=________<___<_____>____#_<___=___>______=______=__________=____<______________=_____>_______>_____<__=_<__=_>__>__=____=X__=X_>_=_____________>_______>____<_=X_XXX_>__>__=_______________<_

Time: 15
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___
_=_________=_____=_____>____#___<____=__=___>____>__________>_____=_____________=______>_______=_______=_____<__=___>__XX_>__>____<__<_=_>X________>_____>________=____<_=_=_=XXX_>__________>__________
______=_________=____<____<____#____>__<__=_____>_____>__________=_____=_____________=_____>_______=________=__<__=__<_X_>__>___>___>_=_=X_>__________=______=_______<__<_=_=XXX_>__>_____________>_____
___________=________<___<_____>____#_<___=___>______=______=__________=____<______________=_____>_______>_____<__=_<__=_>__>__=____=X__=X_>_=_____________>_______>____<_=X_XXX_>__>__=_______________<_
__=_____________=_____<____=______=_#__>____>____>_______>______=________<______>______________=_____=______<___=_<__>_=__>__=__=__XX__X_>_=__>_______________=_______<_<X_>XX_>__>__=__=_______________

Time: 16
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__
__=________<___#____>______>_____=___<__>_______>___=____________=_______________=__=____=______>________=___=__=____>___<X_>____X_>__>___<_=__>____>____>__________=___<_X_>__>XX__=______>________>___
_=_____=______>____#_____>_____<____<__<__=________<____>_____________=___________<____>_____>_______>______<__=___>____=XX___>___>__>__=_X___>___>_____>_____>________<_=_>_=_XXX____>________>________
______=_____=_____>_____#____<____<___<__=___>_________>_____>_____________=________>______>______>_______=___<__=_____>XX_>_____>__>_<_X_X_____=____=_______>_____=____<_=_=_=XXX_______>__________>___
_=_________=_____=_____>____#___<____=__=___>____>__________>_____=_____________=______>_______=_______=_____<__=___>__XX_>__>____<__<_=_>X________>_____>________=____<_=_=_=XXX_>__________>__________
______=_________=____<____<____#____>__<__=_____>_____>__________=_____=_____________=_____>_______=________=__<__=__<_X_>__>___>___>_=_=X_>__________=______=_______<__<_=_=XXX_>__>_____________>_____
___________=________<___<_____>____#_<___=___>______=______=__________=____<______________=_____>_______>_____<__=_<__=_>__>__=____=X__=X_>_=_____________>_______>____<_=X_XXX_>__>__=_______________<_
